model,project,fold,precision,recall,f1,p_at_50,n,n_flaky,flaky_rate,roc_auc,avg_precision
xgboost,activiti,4,0.25,0.16666666666666666,0.2,0.1,408,6,0.014705882352941176,0.8370646766169154,0.22453078078078076
xgboost,alluxio,0,1.0,1.0,1.0,0.6052631578947368,38,23,0.6052631578947368,1.0,1.0
xgboost,alluxio,1,1.0,1.0,1.0,0.631578947368421,38,24,0.631578947368421,1.0,1.0
xgboost,alluxio,2,1.0,1.0,1.0,0.6216216216216216,37,23,0.6216216216216216,1.0,1.0
xgboost,alluxio,3,1.0,0.9565217391304348,0.9777777777777777,0.6216216216216216,37,23,0.6216216216216216,1.0,1.0
xgboost,alluxio,4,1.0,1.0,1.0,0.6216216216216216,37,23,0.6216216216216216,1.0,1.0
xgboost,ambari,0,0.8333333333333334,1.0,0.9090909090909091,0.2,65,10,0.15384615384615385,0.9927272727272727,0.9651515151515151
xgboost,ambari,1,1.0,0.9,0.9473684210526315,0.2,65,10,0.15384615384615385,0.9909090909090909,0.9666666666666667
xgboost,ambari,2,1.0,0.9090909090909091,0.9523809523809523,0.22,65,11,0.16923076923076924,0.9932659932659933,0.9757575757575758
xgboost,ambari,3,1.0,0.9090909090909091,0.9523809523809523,0.22,65,11,0.16923076923076924,0.9915824915824916,0.9715909090909092
xgboost,ambari,4,1.0,1.0,1.0,0.2,64,10,0.15625,1.0,1.0
